emotion,pixels,Usage
0,imagesFer/0.png,Training
0,imagesFer/1.png,Training
2,imagesFer/2.png,Training
4,imagesFer/3.png,Training
6,imagesFer/4.png,Training
2,imagesFer/5.png,Training
4,imagesFer/6.png,Training
3,imagesFer/7.png,Training
3,imagesFer/8.png,Training
2,imagesFer/9.png,Training
0,imagesFer/10.png,Training
6,imagesFer/11.png,Training
6,imagesFer/12.png,Training
6,imagesFer/13.png,Training
3,imagesFer/14.png,Training
5,imagesFer/15.png,Training
3,imagesFer/16.png,Training
2,imagesFer/17.png,Training
6,imagesFer/18.png,Training
4,imagesFer/19.png,Training
4,imagesFer/20.png,Training
2,imagesFer/21.png,Training
0,imagesFer/22.png,Training
0,imagesFer/23.png,Training
3,imagesFer/24.png,Training
3,imagesFer/25.png,Training
5,imagesFer/26.png,Training
0,imagesFer/27.png,Training
3,imagesFer/28.png,Training
5,imagesFer/29.png,Training
3,imagesFer/30.png,Training
6,imagesFer/31.png,Training
3,imagesFer/32.png,Training
2,imagesFer/33.png,Training
3,imagesFer/34.png,Training
6,imagesFer/35.png,Training
6,imagesFer/36.png,Training
6,imagesFer/37.png,Training
0,imagesFer/38.png,Training
5,imagesFer/39.png,Training
0,imagesFer/40.png,Training
3,imagesFer/41.png,Training
4,imagesFer/42.png,Training
0,imagesFer/43.png,Training
6,imagesFer/44.png,Training
2,imagesFer/45.png,Training
3,imagesFer/46.png,Training
6,imagesFer/47.png,Training
2,imagesFer/48.png,Training
2,imagesFer/49.png,Training
2,imagesFer/50.png,Training
5,imagesFer/51.png,Training
5,imagesFer/52.png,Training
6,imagesFer/53.png,Training
4,imagesFer/54.png,Training
5,imagesFer/55.png,Training
0,imagesFer/56.png,Training
3,imagesFer/57.png,Training
4,imagesFer/58.png,Training
2,imagesFer/59.png,Training
6,imagesFer/60.png,Training
5,imagesFer/61.png,Training
3,imagesFer/62.png,Training
4,imagesFer/63.png,Training
3,imagesFer/64.png,Training
0,imagesFer/65.png,Training
4,imagesFer/66.png,Training
3,imagesFer/67.png,Training
0,imagesFer/68.png,Training
5,imagesFer/69.png,Training
4,imagesFer/70.png,Training
2,imagesFer/71.png,Training
4,imagesFer/72.png,Training
2,imagesFer/73.png,Training
0,imagesFer/74.png,Training
6,imagesFer/75.png,Training
0,imagesFer/76.png,Training
0,imagesFer/77.png,Training
5,imagesFer/78.png,Training
4,imagesFer/79.png,Training
3,imagesFer/80.png,Training
5,imagesFer/81.png,Training
3,imagesFer/82.png,Training
6,imagesFer/83.png,Training
2,imagesFer/84.png,Training
